Cluster,Name
0,Student 67
0,Student 44
0,Student 37
0,Student 97
1,Student 12
1,Student 56
1,Student 40
1,Student 16
2,Student 91
2,Student 49
2,Student 25
2,Student 13
3,Student 11
3,Student 89
3,Student 10
3,Student 18
4,Student 26
4,Student 21
4,Student 84
4,Student 46
5,Student 50
5,Student 42
5,Student 74
5,Student 61
6,Student 3
6,Student 39
6,Student 96
6,Student 55
7,Student 38
7,Student 62
7,Student 100
7,Student 94
8,Student 41
8,Student 34
8,Student 29
8,Student 71
9,Student 69
9,Student 58
9,Student 57
9,Student 9
10,Student 68
10,Student 76
10,Student 73
10,Student 65
11,Student 60
11,Student 15
11,Student 80
11,Student 85
12,Student 63
12,Student 70
12,Student 90
12,Student 36
13,Student 88
13,Student 83
13,Student 77
13,Student 28
14,Student 6
14,Student 31
14,Student 35
14,Student 22
15,Student 17
15,Student 23
15,Student 27
15,Student 4
16,Student 32
16,Student 64
16,Student 59
16,Student 72
17,Student 81
17,Student 8
17,Student 66
17,Student 54
18,Student 47
18,Student 93
18,Student 78
18,Student 20
19,Student 7
19,Student 99
19,Student 33
19,Student 24
20,Student 48
20,Student 92
20,Student 98
20,Student 75
21,Student 14
21,Student 82
21,Student 53
21,Student 1
22,Student 45
22,Student 5
22,Student 19
22,Student 43
23,Student 87
23,Student 2
23,Student 30
23,Student 51
24,Student 86
24,Student 95
24,Student 52
24,Student 79
