Cluster,Name
0,Student 52
0,Student 79
0,Student 68
0,Student 89
1,Student 11
1,Student 86
1,Student 17
1,Student 19
2,Student 5
2,Student 63
2,Student 28
2,Student 21
3,Student 20
3,Student 85
3,Student 93
3,Student 69
4,Student 32
4,Student 23
4,Student 39
4,Student 12
5,Student 64
5,Student 84
5,Student 9
5,Student 67
6,Student 49
6,Student 96
6,Student 83
6,Student 87
7,Student 61
7,Student 47
7,Student 6
7,Student 13
8,Student 40
8,Student 53
8,Student 44
8,Student 92
9,Student 78
9,Student 38
9,Student 98
9,Student 88
10,Student 41
10,Student 94
10,Student 29
10,Student 8
11,Student 81
11,Student 72
11,Student 36
11,Student 45
12,Student 76
12,Student 54
12,Student 95
12,Student 56
13,Student 1
13,Student 10
13,Student 24
13,Student 2
14,Student 77
14,Student 33
14,Student 55
14,Student 57
15,Student 75
15,Student 48
15,Student 74
15,Student 58
16,Student 62
16,Student 51
16,Student 14
16,Student 43
17,Student 37
17,Student 15
17,Student 82
17,Student 80
18,Student 7
18,Student 25
18,Student 16
18,Student 42
19,Student 34
19,Student 46
19,Student 66
19,Student 91
20,Student 18
20,Student 22
20,Student 31
20,Student 3
21,Student 65
21,Student 4
21,Student 50
21,Student 71
22,Student 35
22,Student 27
22,Student 100
22,Student 59
23,Student 70
23,Student 97
23,Student 60
23,Student 26
24,Student 90
24,Student 30
24,Student 99
24,Student 73
