Cluster,Name
0,Student 88
0,Student 4
0,Student 3
0,Student 8
1,Student 72
1,Student 16
1,Student 7
1,Student 76
2,Student 63
2,Student 34
2,Student 38
2,Student 14
3,Student 22
3,Student 84
3,Student 31
3,Student 64
4,Student 41
4,Student 68
4,Student 94
4,Student 29
5,Student 77
5,Student 98
5,Student 48
5,Student 92
6,Student 44
6,Student 26
6,Student 18
6,Student 55
7,Student 33
7,Student 57
7,Student 27
7,Student 35
8,Student 61
8,Student 96
8,Student 87
8,Student 83
9,Student 78
9,Student 30
9,Student 71
9,Student 45
10,Student 36
10,Student 73
10,Student 81
10,Student 60
11,Student 58
11,Student 62
11,Student 74
11,Student 97
12,Student 100
12,Student 51
12,Student 43
12,Student 39
13,Student 53
13,Student 75
13,Student 49
13,Student 21
14,Student 52
14,Student 2
14,Student 1
14,Student 56
15,Student 24
15,Student 95
15,Student 59
15,Student 19
16,Student 5
16,Student 6
16,Student 11
16,Student 86
17,Student 89
17,Student 17
17,Student 79
17,Student 85
18,Student 67
18,Student 20
18,Student 9
18,Student 91
19,Student 10
19,Student 50
19,Student 66
19,Student 70
20,Student 65
20,Student 54
20,Student 25
20,Student 12
21,Student 37
21,Student 80
21,Student 99
21,Student 82
22,Student 15
22,Student 90
22,Student 46
22,Student 40
23,Student 42
23,Student 13
23,Student 47
23,Student 93
24,Student 28
24,Student 69
24,Student 32
24,Student 23
