Cluster,Name
0,Student 76
0,Student 38
0,Student 86
0,Student 39
1,Student 96
1,Student 14
1,Student 49
1,Student 59
2,Student 31
2,Student 6
2,Student 42
2,Student 70
3,Student 20
3,Student 22
3,Student 90
3,Student 83
4,Student 45
4,Student 30
4,Student 73
4,Student 23
5,Student 78
5,Student 34
5,Student 68
5,Student 32
6,Student 5
6,Student 4
6,Student 84
6,Student 64
7,Student 89
7,Student 13
7,Student 81
7,Student 88
8,Student 72
8,Student 8
8,Student 12
8,Student 51
9,Student 25
9,Student 56
9,Student 41
9,Student 29
10,Student 94
10,Student 54
10,Student 93
10,Student 3
11,Student 24
11,Student 69
11,Student 11
11,Student 19
12,Student 10
12,Student 92
12,Student 33
12,Student 97
13,Student 35
13,Student 62
13,Student 100
13,Student 27
14,Student 1
14,Student 17
14,Student 75
14,Student 65
15,Student 48
15,Student 98
15,Student 44
15,Student 15
16,Student 9
16,Student 71
16,Student 2
16,Student 52
17,Student 47
17,Student 63
17,Student 37
17,Student 28
18,Student 18
18,Student 79
18,Student 21
18,Student 26
19,Student 82
19,Student 61
19,Student 58
19,Student 74
20,Student 50
20,Student 46
20,Student 43
20,Student 99
21,Student 87
21,Student 66
21,Student 95
21,Student 57
22,Student 77
22,Student 40
22,Student 36
22,Student 60
23,Student 53
23,Student 80
23,Student 7
23,Student 55
24,Student 91
24,Student 85
24,Student 16
24,Student 67
