Cluster,Name
0,Student 97
0,Student 63
0,Student 4
0,Student 66
1,Student 96
1,Student 23
1,Student 82
1,Student 12
2,Student 78
2,Student 3
2,Student 22
2,Student 79
3,Student 59
3,Student 75
3,Student 5
3,Student 55
4,Student 60
4,Student 53
4,Student 70
4,Student 37
5,Student 74
5,Student 67
5,Student 56
5,Student 57
6,Student 40
6,Student 91
6,Student 39
6,Student 16
7,Student 83
7,Student 100
7,Student 17
7,Student 92
8,Student 19
8,Student 47
8,Student 99
8,Student 30
9,Student 18
9,Student 77
9,Student 68
9,Student 62
10,Student 31
10,Student 21
10,Student 13
10,Student 72
11,Student 10
11,Student 65
11,Student 8
11,Student 36
12,Student 90
12,Student 86
12,Student 24
12,Student 35
13,Student 29
13,Student 76
13,Student 45
13,Student 61
14,Student 69
14,Student 93
14,Student 41
14,Student 34
15,Student 42
15,Student 64
15,Student 80
15,Student 87
16,Student 15
16,Student 7
16,Student 98
16,Student 48
17,Student 89
17,Student 71
17,Student 46
17,Student 26
18,Student 44
18,Student 11
18,Student 84
18,Student 94
19,Student 6
19,Student 33
19,Student 38
19,Student 88
20,Student 58
20,Student 20
20,Student 1
20,Student 28
21,Student 32
21,Student 51
21,Student 85
21,Student 9
22,Student 81
22,Student 27
22,Student 25
22,Student 49
23,Student 43
23,Student 50
23,Student 73
23,Student 54
24,Student 52
24,Student 95
24,Student 2
24,Student 14
